"Transcript","Condition_A","Condition_B"
"TR75473|c1_g3_i2",1.31,0.75
"TR40369|c0_g1_i3",4.49,5.21
"TR55385|c0_g12_i3",8.47,7.1
"TR21747|c0_g1_i1",0.71,0
"TR18653|c0_g1_i1",0.68,0.29
"TR76361|c0_g1_i2",1.26,2.7
"TR53416|c0_g1_i1",0.17,0
"TR140225|c0_g1_i1",0.47,0.5
"TR79352|c0_g1_i1",1.91,1.77
"TR25455|c0_g2_i1",0.65,0.7
"TR140746|c0_g1_i1",1.3,0.93
"TR59161|c0_g1_i1",0.91,0.71
"TR90762|c0_g1_i1",0.15,0.22
"TR207294|c0_g1_i1",0.78,1
"TR102779|c0_g1_i2",1.82,1.78
"TR82926|c0_g7_i1",4.23,3.23
"TR195654|c0_g1_i1",0.28,0.6
"TR82555|c0_g1_i1",1.03,0.51
"TR80695|c2_g1_i1",1369.47,1367.14
"TR81579|c3_g2_i6",5.34,5.14
"TR49258|c0_g3_i12",0.65,0
"TR121327|c0_g1_i1",0.42,0.67
"TR90413|c0_g2_i1",0.35,0.38
"TR152142|c0_g2_i1",16.19,14.2
"TR7909|c0_g1_i2",136.09,133.83
"TR131532|c1_g2_i1",0.45,0
"TR112448|c0_g1_i1",0.31,0
"TR80327|c0_g1_i1",0.46,0
"TR81895|c0_g1_i1",1.1,1.34
"TR51011|c0_g1_i1",1.38,1.76
"TR152838|c0_g1_i1",0.22,0
"TR117224|c0_g1_i1",0.46,0
"TR24653|c0_g1_i3",0.54,0.16
"TR85373|c0_g1_i1",1.01,0.73
"TR49237|c0_g1_i3",0.62,0.32
"TR8673|c0_g2_i1",0.91,1.09
"TR177666|c0_g1_i1",0.64,0
"TR127348|c0_g1_i1",0.36,0.69
"TR38183|c0_g4_i1",0.43,0.2
"TR193642|c0_g1_i1",0.82,0.7
"TR6987|c2_g4_i2",1,0.95
"TR186265|c0_g1_i1",1.1,1.22
"TR102887|c0_g1_i1",0.96,1.06
"TR131546|c1_g1_i1",0.1,0.21
"TR31730|c1_g5_i2",0.5,0
"TR49394|c0_g1_i6",2.95,3.17
"TR226758|c0_g1_i1",0.66,0
"TR184779|c0_g1_i1",0.33,0.36
"TR105335|c0_g1_i1",2.34,0
"TR100649|c0_g2_i1",1.2,2.62
"TR14642|c2_g1_i4",0.58,0.97
"TR28747|c6_g3_i1",0.34,0
"TR71601|c0_g1_i1",0.46,0.69
"TR77184|c0_g1_i1",0.39,0
"TR45173|c1_g1_i1",0.55,0.23
"TR97430|c0_g1_i1",0.68,0.25
"TR169847|c0_g1_i1",0.4,0.86
"TR52126|c0_g1_i1",0.39,0
"TR163533|c0_g1_i1",0.58,0.62
"TR225121|c0_g1_i1",1.02,0.87
"TR76080|c0_g2_i4",0.2,0.27
"TR152447|c0_g1_i1",1.22,1.32
"TR108886|c0_g1_i1",0.64,0.44
"TR99979|c0_g1_i1",1.03,1.11
"TR59315|c0_g2_i1",0.77,0.62
"TR66552|c0_g1_i1",0.87,0.56
"TR222194|c0_g1_i1",0.45,0.64
"TR30228|c0_g1_i1",0.98,1.42
"TR234807|c0_g1_i1",0.91,0.98
"TR93947|c0_g1_i1",0.51,0
"TR64789|c0_g1_i3",0.29,0.38
"TR28799|c5_g5_i1",0.24,0
"TR30330|c0_g1_i3",5.19,5.05
"TR63675|c0_g1_i16",0.09,0.78
"TR19830|c0_g6_i1",32.37,39.2
"TR71422|c0_g2_i1",2.94,2.79
"TR89804|c0_g1_i1",0.32,0.69
"TR180891|c0_g1_i1",1.33,0
"TR111069|c1_g1_i1",0.53,0
"TR86544|c0_g1_i1",0,1.04
"TR168024|c0_g1_i1",0.64,0.8
"TR81562|c1_g1_i4",0.68,0.56
"TR171742|c0_g1_i1",0.6,0
"TR84768|c0_g1_i1",1.2,0.87
"TR90048|c0_g2_i1",0.92,1.19
"TR113580|c0_g1_i1",0.26,0.5
"TR5198|c1_g1_i1",2.4,1.72
"TR5354|c0_g2_i15",0.08,0
"TR142091|c0_g1_i1",2.83,2.65
"TR59526|c0_g2_i7",0.69,0.31
"TR42620|c0_g2_i1",0.19,2.43
"TR141504|c0_g1_i1",1.98,1.78
"TR180545|c0_g1_i1",0.96,0
"TR174021|c0_g1_i1",0.6,0.24
"TR222261|c0_g1_i1",1.34,1.08
"TR19486|c0_g1_i1",0.55,0.56
"TR71443|c0_g3_i2",0.88,0
"TR30380|c0_g2_i2",2.28,1.82
"TR113920|c0_g1_i1",0.79,0.31
"TR20610|c0_g1_i1",0.53,0.38
"TR239145|c0_g1_i1",2.02,1.28
"TR164856|c0_g1_i1",1.01,0
"TR101948|c0_g1_i1",0.3,0
"TR15787|c10_g1_i3",4.28,4.76
"TR158240|c0_g2_i1",1.2,0.65
"TR110853|c0_g5_i2",1.37,1.66
"TR150002|c0_g1_i1",0,0.79
"TR182927|c0_g1_i1",0.66,0.71
"TR177963|c0_g1_i1",0.28,0.6
"TR133882|c0_g2_i1",0.78,0.28
"TR84398|c0_g1_i1",0.66,0.99
"TR26179|c0_g1_i1",0.39,0.84
"TR82648|c0_g1_i1",0.14,0
"TR8303|c0_g1_i1",0.47,1.03
"TR36650|c0_g1_i1",1.18,0.84
"TR8758|c0_g4_i1",1.83,2.56
"TR48147|c0_g1_i1",0.25,0
"TR38161|c0_g1_i2",0.2,0.41
"TR194307|c0_g1_i1",0.99,0.79
"TR178808|c0_g1_i1",0.96,0.69
"TR38958|c0_g1_i5",0.56,1.34
"TR180387|c0_g1_i1",0.57,0.53
"TR19844|c4_g1_i3",1.47,0.82
"TR13604|c0_g11_i1",1.06,1.02
"TR205475|c0_g1_i1",0.62,0.67
"TR173441|c0_g1_i1",0.22,0
"TR116771|c0_g1_i1",0.9,0.83
"TR92110|c1_g1_i1",1.2,1.36
"TR57762|c1_g1_i10",0.9,0.91
"TR81437|c0_g1_i1",0.64,0.69
"TR197791|c0_g1_i1",0.3,0
"TR64247|c0_g1_i1",0.45,0.56
"TR103870|c0_g2_i1",0.47,1.04
"TR139312|c0_g1_i1",0.49,1.06
"TR71695|c0_g1_i1",0.51,0.27
"TR51|c0_g2_i2",0,0.05
"TR184586|c0_g1_i1",0.96,0.59
"TR122213|c0_g1_i1",4.47,4.69
"TR44892|c4_g2_i1",0.83,0.51
"TR122225|c0_g1_i2",7.97,11.85
"TR189743|c0_g1_i1",1.33,1.64
"TR151845|c0_g1_i1",0.29,0
"TR73233|c0_g1_i1",1.27,0.69
"TR149173|c0_g1_i1",0.23,0.42
"TR31978|c0_g1_i1",0.47,0.67
"TR31957|c0_g1_i1",0.19,0
"TR203459|c0_g1_i1",0.74,1.19
"TR204749|c0_g1_i1",0.48,0.43
"TR50541|c0_g1_i1",0.33,0.35
"TR5787|c0_g1_i2",0.87,1.5
"TR103454|c0_g1_i1",1.05,0.9
"TR226868|c0_g1_i1",0.73,0.79
"TR159037|c1_g1_i1",0.45,1.03
"TR224341|c0_g1_i1",0.37,0
"TR238012|c0_g2_i1",0.18,0.16
"TR7017|c0_g1_i4",0.93,0.38
"TR23647|c0_g1_i1",0.91,0
"TR186838|c0_g1_i1",0.86,0.94
"TR179430|c0_g1_i1",0.74,0
"TR11558|c6_g2_i1",1.17,0.43
"TR176699|c0_g1_i1",0.43,0
"TR148316|c0_g1_i1",0.49,0.7
"TR48505|c0_g1_i1",0.72,0.62
"TR234837|c0_g1_i1",0.98,0
"TR22097|c4_g5_i4",0.71,0.68
"TR41510|c0_g1_i1",0.06,0
"TR129202|c0_g4_i1",0.16,0.39
"TR237706|c0_g1_i1",0.68,0.24
"TR155846|c0_g1_i1",0.58,1
"TR63130|c0_g1_i1",0.63,0.68
"TR219240|c0_g1_i1",1.04,2.28
"TR153989|c0_g1_i1",0.53,0.63
"TR79992|c0_g2_i1",0.27,0.57
"TR41996|c0_g1_i3",0.78,1.88
"TR35015|c0_g1_i1",0.93,1.01
"TR71459|c7_g19_i1",4.76,5.96
"TR14697|c0_g1_i2",8.83,9.43
"TR227101|c0_g1_i1",0.28,0
"TR205834|c0_g1_i1",1.24,0
"TR77876|c0_g1_i1",0.59,0.97
"TR8144|c0_g3_i1",1.06,1.08
"TR42327|c0_g1_i1",0.92,0.92
"TR72507|c0_g1_i1",0.79,0.62
"TR42133|c0_g2_i2",12.4,9.85
"TR125114|c0_g1_i1",1.28,0.99
"TR184227|c0_g1_i1",0.62,1.33
"TR136260|c0_g2_i1",0.49,0.59
"TR232704|c0_g1_i1",1.99,2.36
"TR79350|c0_g1_i10",0.11,0
"TR42855|c0_g6_i2",0.32,0.36
"TR22075|c2_g1_i4",0.78,0.63
"TR96840|c0_g1_i1",0.98,1.31
"TR39109|c1_g3_i2",0.63,0.5
"TR58733|c0_g1_i1",0.51,1.1
"TR172978|c0_g1_i1",1.01,0
"TR87183|c0_g1_i1",0.41,0.44
"TR123361|c0_g2_i1",0.38,0
"TR86904|c0_g1_i1",0.19,0
"TR44571|c1_g1_i1",19.62,13.48
"TR210638|c0_g1_i1",0.67,0.76
"TR154143|c1_g1_i1",0.49,0.46
"TR236755|c0_g1_i1",1.47,2.11
"TR59606|c0_g1_i5",0.79,0
"TR52797|c0_g1_i1",0.19,0
"TR130737|c0_g1_i1",19.82,11.91
"TR192518|c0_g1_i1",0.66,1.43
"TR74611|c0_g1_i28",1.52,1.17
"TR64608|c0_g1_i1",0.44,0
"TR181807|c0_g1_i1",0.62,1.08
"TR7357|c0_g1_i2",0.86,0.68
"TR63619|c1_g3_i4",0.43,0.27
"TR14213|c0_g1_i1",2.71,0
"TR132148|c0_g2_i1",1.28,0
"TR195733|c0_g1_i1",0.43,0.94
"TR30822|c8_g5_i1",1.26,1.73
"TR59715|c0_g1_i1",0.56,0.39
"TR19830|c0_g5_i5",7.82,13.39
"TR82032|c0_g6_i4",0.28,0.16
"TR145345|c0_g1_i1",0.75,0
"TR58522|c0_g1_i1",1.33,0.72
"TR83712|c6_g8_i1",0.17,0
"TR159047|c1_g1_i1",0.42,0
"TR74485|c0_g7_i1",1.82,0
"TR213265|c0_g1_i1",0.6,0
"TR102724|c0_g1_i1",0.33,0.68
"TR25841|c1_g1_i8",1.04,2.93
"TR173227|c0_g1_i1",0.46,0
"TR92882|c0_g2_i1",0.55,0
"TR77697|c1_g1_i2",0.26,0.24
"TR142307|c0_g1_i1",0.38,0.74
"TR48185|c0_g2_i19",0.07,0
"TR42406|c0_g1_i1",0.55,0.79
"TR17434|c2_g3_i4",2.4,1.28
"TR218482|c0_g1_i1",0.66,0.95
"TR16466|c0_g1_i1",0.49,0.9
"TR131673|c0_g1_i1",1.46,0.79
"TR81510|c0_g4_i1",0.92,1.21
"TR25338|c0_g1_i23",0.95,0.93
"TR235827|c0_g1_i1",0.44,0
"TR33317|c0_g1_i1",2.54,2.92
"TR18645|c0_g1_i1",0.43,0
"TR214419|c0_g1_i1",0.95,0
"TR198712|c0_g1_i1",0.69,0.37
"TR76064|c0_g5_i1",0.46,0
"TR163854|c0_g1_i1",0.77,0.55
"TR148631|c0_g1_i1",20.82,14.78
"TR11041|c0_g1_i5",0.4,0.49
"TR38167|c1_g1_i1",0,1.11
"TR177286|c0_g1_i1",0.89,0.97
"TR102099|c0_g1_i1",0.21,0
"TR223714|c0_g1_i1",0.81,1.77
"TR25776|c1_g1_i1",0.35,0
"TR3374|c2_g4_i1",0.58,0.62
"TR203664|c0_g1_i1",0.54,1.17
"TR237800|c0_g1_i1",0.66,0.62
"TR21058|c0_g1_i13",1.31,0.98
